Name,Gender,Words
Ned Stark,Male,3262
Robert Baratheon,Male,2450
Jaime Lannister,Male,1324
Catelyn Stark,Female,1722
Cersei Lannister,Female,1438
Daenerys Targaryen,Female,1275
Jorah Mormont,Male,915
Viserys Targaryen,Male,1035
Jon Snow,Male,1204
Sansa Stark,Female,694
Arya Stark,Female,780
Robb Stark,Male,875
Theon Greyjoy,Male,678
Bran Stark,Male,537
Joffrey Baratheon,Male,895
Sandor Clegane,Male,112
Tyrion Lannister,Male,3600
Petyr Baelish,Male,1731
Davos Seaworth,Male,0
Samwell Tarly,Male,625
Stannis Baratheon,Male,0
Melisandre,Female,0
Jeor Mormont,Male,688
Bronn,Male,264
Varys,Male,1278
Shae,Female,236
Margaery Tyrell,Female,319
Tywin Lannister,Male,429
Talisa Maegyr,Female,0
Ygritte,Female,0
Gendry,Male,147
Tormund Giantsbane,Male,51
Brienne of Tarth,Female,0
Ramsay Bolton,Male,0
Gilly,Female,0
Daario Naharis,Male,0
Missandei,Female,0
Ellaria Sand,Female,0
Tommen Baratheon,Male,0
Jaqen H'ghar,Male,0
Roose Bolton,Male,0
The High Sparrow,Male,0
Grey Worm,Male,0
Robin Arryn,Male,56
Yohn Royce,Male,71
Anya Waynwood,Female,0
Lysa Arryn,Female,417
Myrcella Baratheon,Female,5
Selyse Florent,Female,0
Shireen Baratheon,Female,0
Renly Baratheon,Male,581
Salladhor Saan,Male,0
Matthos Seaworth,,0
Maester Cressen,Female,0
Walda Bolton,Female,0
Harald Karstark,Male,0
Jon Umber,Male,0
Myranda,Female,0
Locke,Male,0
Walder Frey,Female,260
Lothar Frey,Male,0
Black Walder Rivers,Female,0
Yara Greyjoy,Female,0
Euron Greyjoy,Male,0
Aeron Greyjoy,,0
Balon Greyjoy,Female,0
Dagmer Cleftjaw,Male,0
Black Lorren,Male,0
Gregor Clegane,Female,0
Kevan Lannister,Male,100
Lancel Lannister,Male,59
Polliver,Male,0
Alton Lannister,Male,0
Amory Lorch,Female,0
Lord Leo Lefford,Male,21
Tyene Sand,Female,0
Nymeria Sand,Female,0
Obara Sand,Female,0
Trystane Martell,Male,0
Doran Martell,Male,0
Areo Hotah,Male,0
Oberyn Martell,Female,0
Robett Glover,Male,0
Meera Reed,Female,0
Lyanna Mormont,Female,0
Maester Wolkan,Male,0
Lyanna Stark,Female,0
Rickon Stark,Male,34
Hodor,Male,1
Osha,Female,261
Jojen Reed,Male,0
Rickard Karstark,Male,30
 Maester Luwin,Male,426
Rodrik Cassel,Male,62
Jory Cassel,,237
Septa Mordane,Female,352
Old Nan,Female,204
Jon Umber,Male,0
Barristan Selmy,Female,217
Hizdahr Zo Loraq,Female,0
Mossador,Male,0
Kovarro,Male,0
Doreah,Female,443
Irri,Female,121
Rakharo,,180
Rhaegar Targaryen,Male,0
Edmure Tully,Male,0
Brynden Tully,Male,0
Roslin Frey,Female,0
Olenna Tyrell,Female,0
Mace Tyrell,Female,0
Loras Tyrell,Female,288
Randyll Tarly,Male,0
Melessa Tarly,Female,0
Talla Tarly,Female,0
Dickon Tarly,Male,0
