Name,Gender,Words
Ned Stark,Male,0
Robert Baratheon,Male,0
Jaime Lannister,Male,688
Catelyn Stark,Female,0
Cersei Lannister,Female,214
Daenerys Targaryen,Female,1712
Jorah Mormont,Male,141
Viserys Targaryen,Male,0
Jon Snow,Male,1498
Sansa Stark,Female,828
Arya Stark,Female,542
Robb Stark,Male,0
Theon Greyjoy,Male,79
Bran Stark,Male,342
Joffrey Baratheon,Male,0
Sandor Clegane,Male,294
Tyrion Lannister,Male,3119
Petyr Baelish,Male,0
Davos Seaworth,Male,533
Samwell Tarly,Male,686
Stannis Baratheon,Male,0
Melisandre,Female,12
Jeor Mormont,Male,0
Bronn,Male,521
Varys,Male,579
Shae,Female,0
Margaery Tyrell,Female,0
Tywin Lannister,Male,0
Talisa Maegyr,Female,0
Ygritte,Female,0
Gendry,Male,410
Tormund Giantsbane,Male,422
Brienne of Tarth,Female,421
Ramsay Bolton,Male,0
Gilly,Female,67
Daario Naharis,Male,0
Missandei,Female,34
Ellaria Sand,Female,0
Tommen Baratheon,Male,0
Jaqen H'ghar,Male,0
Roose Bolton,Male,0
The High Sparrow,Male,0
Grey Worm,Male,242
Robin Arryn,Male,1
Yohn Royce,Male,24
Anya Waynwood,Female,0
Lysa Arryn,Female,0
Myrcella Baratheon,Female,0
Selyse Florent,Female,0
Shireen Baratheon,Female,0
Renly Baratheon,Male,0
Salladhor Saan,Male,0
Matthos Seaworth,,0
Maester Cressen,Female,0
Walda Bolton,Female,0
Harald Karstark,Male,0
Jon Umber,Male,18
Myranda,Female,0
Locke,Male,0
Walder Frey,Female,0
Lothar Frey,Male,0
Black Walder Rivers,Female,0
Yara Greyjoy,Female,134
Euron Greyjoy,Male,175
Aeron Greyjoy,,0
Balon Greyjoy,Female,0
Dagmer Cleftjaw,Male,0
Black Lorren,Male,0
Gregor Clegane,Female,0
Kevan Lannister,Male,0
Lancel Lannister,Male,0
Polliver,Male,0
Alton Lannister,Male,0
Amory Lorch,Female,0
Lord Leo Lefford,Male,0
Tyene Sand,Female,0
Nymeria Sand,Female,0
Obara Sand,Female,0
Trystane Martell,Male,0
Doran Martell,Male,0
Areo Hotah,Male,0
Oberyn Martell,Female,0
Robett Glover,Male,0
Meera Reed,Female,0
Lyanna Mormont,Female,84
Maester Wolkan,Male,31
Lyanna Stark,Female,0
Rickon Stark,Male,0
Hodor,Male,0
Osha,Female,0
Jojen Reed,Male,0
Rickard Karstark,Male,0
 Maester Luwin,Male,0
Rodrik Cassel,Male,0
Jory Cassel,,0
Septa Mordane,Female,0
Old Nan,Female,0
Jon Umber,Male,0
Barristan Selmy,Female,0
Hizdahr Zo Loraq,Female,0
Mossador,Male,0
Kovarro,Male,0
Doreah,Female,0
Irri,Female,0
Rakharo,,0
Rhaegar Targaryen,Male,0
Edmure Tully,Male,79
Brynden Tully,Male,0
Roslin Frey,Female,0
Olenna Tyrell,Female,0
Mace Tyrell,Female,0
Loras Tyrell,Female,0
Randyll Tarly,Male,0
Melessa Tarly,Female,0
Talla Tarly,Female,0
Dickon Tarly,Male,0
