Name,Gender,Words
Ned Stark,Male,10
Robert Baratheon,Male,580
Jaime Lannister,Male,2051
Catelyn Stark,Female,973
Cersei Lannister,Female,1402
Daenerys Targaryen,Female,1329
Jorah Mormont,Male,851
Viserys Targaryen,Male,0
Jon Snow,Male,770
Sansa Stark,Female,982
Arya Stark,Female,792
Robb Stark,Male,1316
Theon Greyjoy,Male,0
Bran Stark,Male,815
Joffrey Baratheon,Male,898
Sandor Clegane,Male,739
Tyrion Lannister,Male,3046
Petyr Baelish,Male,633
Davos Seaworth,Male,1286
Samwell Tarly,Male,898
Stannis Baratheon,Male,633
Melisandre,Female,938
Jeor Mormont,Male,218
Bronn,Male,500
Varys,Male,1232
Shae,Female,486
Margaery Tyrell,Female,1510
Tywin Lannister,Male,1731
Talisa Maegyr,Female,423
Ygritte,Female,950
Gendry,Male,595
Tormund Giantsbane,Male,360
Brienne of Tarth,Female,489
Ramsay Bolton,Male,739
Gilly,Female,317
Daario Naharis,Male,392
Missandei,Female,729
Ellaria Sand,Female,0
Tommen Baratheon,Male,135
Jaqen H'ghar,Male,0
Roose Bolton,Male,351
The High Sparrow,Male,0
Grey Worm,Male,67
Robin Arryn,Male,0
Yohn Royce,Male,0
Anya Waynwood,Female,0
Lysa Arryn,Female,0
Myrcella Baratheon,Female,0
Selyse Florent,Female,176
Shireen Baratheon,Female,419
Renly Baratheon,Male,0
Salladhor Saan,Male,262
Matthos Seaworth,,0
Maester Cressen,Female,0
Walda Bolton,Female,0
Harald Karstark,Male,0
Jon Umber,Male,0
Myranda,Female,83
Locke,Male,478
Walder Frey,Female,666
Lothar Frey,Male,83
Black Walder Rivers,Female,63
Yara Greyjoy,Female,76
Euron Greyjoy,Male,0
Aeron Greyjoy,,0
Balon Greyjoy,Female,174
Dagmer Cleftjaw,Male,0
Black Lorren,Male,0
Gregor Clegane,Female,0
Kevan Lannister,Male,0
Lancel Lannister,Male,0
Polliver,Male,0
Alton Lannister,Male,0
Amory Lorch,Female,0
Lord Leo Lefford,Male,0
Tyene Sand,Female,0
Nymeria Sand,Female,0
Obara Sand,Female,0
Trystane Martell,Male,0
Doran Martell,Male,0
Areo Hotah,Male,0
Oberyn Martell,Female,0
Robett Glover,Male,0
Meera Reed,Female,250
Lyanna Mormont,Female,0
Maester Wolkan,Male,0
Lyanna Stark,Female,0
Rickon Stark,Male,72
Hodor,Male,14
Osha,Female,837
Jojen Reed,Male,439
Rickard Karstark,Male,177
 Maester Luwin,Male,0
Rodrik Cassel,Male,0
Jory Cassel,,0
Septa Mordane,Female,0
Old Nan,Female,0
Jon Umber,Male,0
Barristan Selmy,Female,478
Hizdahr Zo Loraq,Female,0
Mossador,Male,0
Kovarro,Male,0
Doreah,Female,0
Irri,Female,0
Rakharo,,0
Rhaegar Targaryen,Male,0
Edmure Tully,Male,323
Brynden Tully,Male,326
Roslin Frey,Female,10
Olenna Tyrell,Female,1516
Mace Tyrell,Female,0
Loras Tyrell,Female,203
Randyll Tarly,Male,0
Melessa Tarly,Female,0
Talla Tarly,Female,0
Dickon Tarly,Male,0
