Name,Gender,Words
Ned Stark,Male,0
Robert Baratheon,Male,0
Jaime Lannister,Male,921
Catelyn Stark,Female,0
Cersei Lannister,Female,2628
Daenerys Targaryen,Female,1457
Jorah Mormont,Male,529
Viserys Targaryen,Male,0
Jon Snow,Male,2128
Sansa Stark,Female,743
Arya Stark,Female,796
Robb Stark,Male,0
Theon Greyjoy,Male,317
Bran Stark,Male,0
Joffrey Baratheon,Male,0
Sandor Clegane,Male,0
Tyrion Lannister,Male,3254
Petyr Baelish,Male,1628
Davos Seaworth,Male,776
Samwell Tarly,Male,1288
Stannis Baratheon,Male,1515
Melisandre,Female,715
Jeor Mormont,Male,0
Bronn,Male,978
Varys,Male,740
Shae,Female,0
Margaery Tyrell,Female,675
Tywin Lannister,Male,0
Talisa Maegyr,Female,0
Ygritte,Female,0
Gendry,Male,0
Tormund Giantsbane,Male,342
Brienne of Tarth,Female,965
Ramsay Bolton,Male,1094
Gilly,Female,328
Daario Naharis,Male,977
Missandei,Female,217
Ellaria Sand,Female,311
Tommen Baratheon,Male,405
Jaqen H'ghar,Male,539
Roose Bolton,Male,725
The High Sparrow,Male,1189
Grey Worm,Male,135
Robin Arryn,Male,0
Yohn Royce,Male,59
Anya Waynwood,Female,0
Lysa Arryn,Female,0
Myrcella Baratheon,Female,228
Selyse Florent,Female,136
Shireen Baratheon,Female,491
Renly Baratheon,Male,0
Salladhor Saan,Male,0
Matthos Seaworth,,0
Maester Cressen,Female,0
Walda Bolton,Female,26
Harald Karstark,Male,0
Jon Umber,Male,0
Myranda,Female,408
Locke,Male,0
Walder Frey,Female,0
Lothar Frey,Male,0
Black Walder Rivers,Female,0
Yara Greyjoy,Female,0
Euron Greyjoy,Male,0
Aeron Greyjoy,,0
Balon Greyjoy,Female,0
Dagmer Cleftjaw,Male,0
Black Lorren,Male,0
Gregor Clegane,Female,0
Kevan Lannister,Male,163
Lancel Lannister,Male,179
Polliver,Male,0
Alton Lannister,Male,0
Amory Lorch,Female,0
Lord Leo Lefford,Male,0
Tyene Sand,Female,186
Nymeria Sand,Female,72
Obara Sand,Female,136
Trystane Martell,Male,93
Doran Martell,Male,438
Areo Hotah,Male,47
Oberyn Martell,Female,0
Robett Glover,Male,0
Meera Reed,Female,0
Lyanna Mormont,Female,0
Maester Wolkan,Male,0
Lyanna Stark,Female,0
Rickon Stark,Male,0
Hodor,Male,0
Osha,Female,0
Jojen Reed,Male,0
Rickard Karstark,Male,0
 Maester Luwin,Male,0
Rodrik Cassel,Male,0
Jory Cassel,,0
Septa Mordane,Female,16
Old Nan,Female,0
Jon Umber,Male,0
Barristan Selmy,Female,365
Hizdahr Zo Loraq,Female,614
Mossador,Male,237
Kovarro,Male,0
Doreah,Female,0
Irri,Female,0
Rakharo,,0
Rhaegar Targaryen,Male,0
Edmure Tully,Male,0
Brynden Tully,Male,0
Roslin Frey,Female,0
Olenna Tyrell,Female,530
Mace Tyrell,Female,326
Loras Tyrell,Female,230
Randyll Tarly,Male,0
Melessa Tarly,Female,0
Talla Tarly,Female,0
Dickon Tarly,Male,0
