Name,Gender,Words
Ned Stark,Male,62
Robert Baratheon,Male,522
Jaime Lannister,Male,1731
Catelyn Stark,Female,222
Cersei Lannister,Female,1314
Daenerys Targaryen,Female,1130
Jorah Mormont,Male,314
Viserys Targaryen,Male,0
Jon Snow,Male,1380
Sansa Stark,Female,1500
Arya Stark,Female,465
Robb Stark,Male,0
Theon Greyjoy,Male,0
Bran Stark,Male,337
Joffrey Baratheon,Male,0
Sandor Clegane,Male,340
Tyrion Lannister,Male,2436
Petyr Baelish,Male,565
Davos Seaworth,Male,1316
Samwell Tarly,Male,575
Stannis Baratheon,Male,0
Melisandre,Female,514
Jeor Mormont,Male,0
Bronn,Male,367
Varys,Male,847
Shae,Female,0
Margaery Tyrell,Female,715
Tywin Lannister,Male,0
Talisa Maegyr,Female,0
Ygritte,Female,0
Gendry,Male,0
Tormund Giantsbane,Male,446
Brienne of Tarth,Female,602
Ramsay Bolton,Male,885
Gilly,Female,380
Daario Naharis,Male,561
Missandei,Female,296
Ellaria Sand,Female,136
Tommen Baratheon,Male,762
Jaqen H'ghar,Male,315
Roose Bolton,Male,238
The High Sparrow,Male,1526
Grey Worm,Male,376
Robin Arryn,Male,26
Yohn Royce,Male,90
Anya Waynwood,Female,0
Lysa Arryn,Female,0
Myrcella Baratheon,Female,0
Selyse Florent,Female,0
Shireen Baratheon,Female,0
Renly Baratheon,Male,0
Salladhor Saan,Male,0
Matthos Seaworth,,0
Maester Cressen,Female,49
Walda Bolton,Female,0
Harald Karstark,Male,2
Jon Umber,Male,0
Myranda,Female,0
Locke,Male,0
Walder Frey,Female,489
Lothar Frey,Male,67
Black Walder Rivers,Female,100
Yara Greyjoy,Female,754
Euron Greyjoy,Male,423
Aeron Greyjoy,,161
Balon Greyjoy,Female,167
Dagmer Cleftjaw,Male,0
Black Lorren,Male,0
Gregor Clegane,Female,0
Kevan Lannister,Male,135
Lancel Lannister,Male,92
Polliver,Male,0
Alton Lannister,Male,0
Amory Lorch,Female,0
Lord Leo Lefford,Male,0
Tyene Sand,Female,0
Nymeria Sand,Female,29
Obara Sand,Female,33
Trystane Martell,Male,15
Doran Martell,Male,84
Areo Hotah,Male,0
Oberyn Martell,Female,0
Robett Glover,Male,265
Meera Reed,Female,210
Lyanna Mormont,Female,358
Maester Wolkan,Male,47
Lyanna Stark,Female,0
Rickon Stark,Male,0
Hodor,Male,23
Osha,Female,82
Jojen Reed,Male,0
Rickard Karstark,Male,27
 Maester Luwin,Male,0
Rodrik Cassel,Male,0
Jory Cassel,,0
Septa Mordane,Female,0
Old Nan,Female,0
Jon Umber,Male,0
Barristan Selmy,Female,0
Hizdahr Zo Loraq,Female,0
Mossador,Male,0
Kovarro,Male,0
Doreah,Female,0
Irri,Female,0
Rakharo,,0
Rhaegar Targaryen,Male,0
Edmure Tully,Male,245
Brynden Tully,Male,438
Roslin Frey,Female,0
Olenna Tyrell,Female,418
Mace Tyrell,Female,47
Loras Tyrell,Female,168
Randyll Tarly,Male,309
Melessa Tarly,Female,125
Talla Tarly,Female,80
Dickon Tarly,Male,46
